Date,Open,High,Low,Last Close
06/20/2024,540,541,540,541
06/24/2024,539,539,539,539
06/25/2024,539,539,539,539
06/26/2024,539,539,539,539
06/27/2024,539,539,539,539
06/28/2024,541,541,541,541
07/01/2024,541,541,541,541
07/02/2024,541,541,539,539
07/03/2024,541,541,539,539
07/04/2024,540,540,540,540
07/05/2024,540,541,540,541
07/08/2024,542,542,542,542
07/09/2024,542,545,542,544
07/10/2024,544,545,544,545
07/11/2024,549,549,549,549
07/12/2024,542,545,542,545
07/15/2024,546,547,545,547
07/16/2024,546,548,546,548
07/17/2024,543,543,541,541
07/18/2024,542,542,537,537
07/19/2024,537,539,534,534
07/22/2024,536,537,536,537
07/23/2024,539,543,539,543
07/24/2024,538,538,532,532
07/25/2024,529,530,528,530
07/26/2024,530,530,528,529
07/29/2024,533,534,532,532
07/30/2024,534,534,534,534
07/31/2024,535,540,535,540
08/01/2024,542,543,536,536
08/02/2024,527,527,513,513
08/05/2024,480,503,480,501
08/06/2024,506,507,503,503
08/07/2024,512,513,512,512
08/08/2024,502,513,502,513
08/09/2024,517,517,514,515
08/12/2024,517,518,516,516
08/13/2024,519,521,517,521
08/14/2024,521,522,521,522
08/15/2024,524,532,523,532
08/16/2024,534,534,533,533
08/19/2024,531,531,531,531
08/20/2024,535,535,535,535
08/21/2024,532,533,532,532
08/22/2024,534,535,533,533
08/23/2024,531,531,531,531
08/26/2024,534,534,531,531
08/27/2024,532,532,531,531
08/28/2024,534,535,534,535
08/29/2024,534,538,534,538
08/30/2024,536,537,534,534
09/02/2024,538,539,538,539
09/03/2024,538,539,533,533
09/04/2024,527,528,527,527
09/05/2024,526,526,524,524
09/06/2024,520,525,520,525
09/09/2024,521,522,521,522
09/10/2024,524,526,523,526
09/11/2024,524,527,522,522
09/12/2024,520,534,520,533
09/13/2024,540,540,537,537
09/16/2024,535,535,534,534
09/17/2024,536,537,536,537
09/18/2024,536,536,536,536
09/19/2024,540,542,540,542
09/20/2024,541,541,540,540
09/23/2024,544,544,543,544
09/24/2024,545,545,541,543
09/25/2024,542,543,542,543
09/26/2024,548,548,543,543
09/27/2024,545,545,544,545
09/30/2024,541,545,541,545
10/01/2024,553,553,548,553
10/02/2024,553,553,545,548
10/03/2024,553,553,545,548
10/04/2024,547,554,547,550
10/07/2024,553,553,552,553
10/08/2024,553,554,549,554
10/09/2024,553,559,553,559
10/10/2024,553,560,553,560
10/11/2024,553,562,553,562
10/14/2024,563,564,558,558
10/15/2024,568,569,567,567
10/16/2024,566,567,565,567
10/17/2024,572,575,572,573
10/18/2024,572,572,571,572
10/21/2024,572,572,569,569
10/22/2024,571,572,570,572
10/23/2024,573,573,571,571
10/24/2024,571,571,569,569
10/25/2024,569,571,569,571
10/28/2024,572,572,571,571
10/29/2024,573,573,570,572
10/30/2024,573,573,569,569
10/31/2024,573,573,559,559
